Your Estimate
Service Type,Components,Region,Component Price,Service Price
Amazon EC2 Service (US East (N. Virginia)),,,,$2145.48
,Compute:,US East (N. Virginia),$436.28
,Intra-Region Data Transfer:,US East (N. Virginia),$3.6
,EBS Volumes:,US East (N. Virginia),$540
,EBS Throughput:,US East (N. Virginia),$0
,EBS Snapshots:,US East (N. Virginia),$800
,Elastic Graphics:,US East (N. Virginia),$292.8
,Elastic IPs:,US East (N. Virginia),$69.2
,Inter-Region Data Transfer Out:,US East (N. Virginia),$3.6
AWS Data Transfer In,,,,$0
,US East (N. Virginia) Region:,Global,$0
AWS Data Transfer Out,,,,$16.11
,US East (N. Virginia) Region:,Global,$16.11
AWS Support (Business),,,,$216.03
,Support for all AWS services:,,$216.03
,,Free Tier Discount:,,$-1.31
,,Total Monthly Payment:,,$2376.31
